unique_id,crop_type_cocoa,crop_type_oil,crop_type_rubber
ID_01FHV4,0,0,0
ID_ESPGTQ,0,0,0
ID_451H0L,0,0,0
ID_A3I6OT,0,0,0
ID_DPRO89,0,0,0
ID_SIBBD4,0,0,0
ID_E547V9,0,0,0
ID_5LGB76,0,0,0
ID_LO20JL,0,0,0
ID_S2ZFCL,0,0,0
ID_90WBCS,0,0,0
ID_6QQRN4,0,0,0
ID_FRSCYI,0,0,0
ID_K47NBL,0,0,0
ID_XQ6L52,0,0,0
ID_8ESZKU,0,0,0
ID_SC23VQ,0,0,0
ID_PZ2CG2,0,0,0
ID_DK5CB7,0,0,0
ID_M9AT41,0,0,0
ID_MQ6RDO,0,0,0
ID_GEA7VF,0,0,0
ID_BA8A0I,0,0,0
ID_5I7EGH,0,0,0
ID_D4XL3M,0,0,0
ID_XLCFM3,0,0,0
ID_7E4C01,0,0,0
ID_6NJSYE,0,0,0
ID_CFDGDV,0,0,0
ID_79KX5G,0,0,0
ID_U2VJPX,0,0,0
ID_SCWEHK,0,0,0
ID_2NRDY1,0,0,0
ID_V8S2BE,0,0,0
ID_W61ZXL,0,0,0
ID_N5R14T,0,0,0
ID_ZOE9X6,0,0,0
ID_0DZKAH,0,0,0
ID_EHVQEQ,0,0,0
ID_BHFHJJ,0,0,0
ID_QXVF5D,0,0,0
ID_085GT7,0,0,0
ID_BV443V,0,0,0
ID_TMAZ3X,0,0,0
ID_E6X2CA,0,0,0
ID_TVWJS3,0,0,0
ID_UC35FL,0,0,0
ID_EKTE9J,0,0,0
ID_EQK9TV,0,0,0
ID_7RWG6N,0,0,0
ID_O60DTC,0,0,0
ID_5UXG8O,0,0,0
ID_P2FL9V,0,0,0
ID_UE7L84,0,0,0
ID_Z7KYC3,0,0,0
ID_1RK0E7,0,0,0
ID_TFA5FP,0,0,0
ID_N2WUPK,0,0,0
ID_6WGJT8,0,0,0
ID_SVS8GD,0,0,0
ID_CEKU8O,0,0,0
ID_TUYSYA,0,0,0
ID_1R1K4R,0,0,0
ID_S9MDHO,0,0,0
ID_Y7VCCW,0,0,0
ID_QJH5OZ,0,0,0
ID_AFTJGB,0,0,0
ID_OYZXIJ,0,0,0
ID_0GVEAX,0,0,0
ID_N9GHMU,0,0,0
ID_OWMC6N,0,0,0
ID_2FVZHC,0,0,0
ID_DE845Z,0,0,0
ID_DF8U13,0,0,0
ID_Q5HY4A,0,0,0
ID_6U9J5Z,0,0,0
ID_G4QJHI,0,0,0
ID_XHX5DU,0,0,0
ID_2SJ2QB,0,0,0
ID_EYEDAN,0,0,0
ID_X5UMLW,0,0,0
ID_BXD0DK,0,0,0
ID_2DQJPV,0,0,0
ID_IX9GAN,0,0,0
ID_O8K1I6,0,0,0
ID_4S2USG,0,0,0
ID_TK4GV9,0,0,0
ID_1KUOH5,0,0,0
ID_HLIZ7B,0,0,0
ID_9S5N71,0,0,0
ID_VIWKJW,0,0,0
ID_QKHVIV,0,0,0
ID_OBBL1J,0,0,0
ID_7FJM0I,0,0,0
ID_N0T0S6,0,0,0
ID_NAO82K,0,0,0
ID_VWZQ23,0,0,0
ID_CFWDOM,0,0,0
ID_TK7KIU,0,0,0
ID_5RJS4I,0,0,0
ID_NKPAK0,0,0,0
ID_XNAENQ,0,0,0
ID_C8DC5B,0,0,0
ID_3R2X26,0,0,0
ID_PSZ0WZ,0,0,0
ID_VUWOYY,0,0,0
ID_PJZXTZ,0,0,0
ID_NV3DHK,0,0,0
ID_QBKWXH,0,0,0
ID_NL0JU1,0,0,0
ID_1SKF72,0,0,0
ID_PQW4Y5,0,0,0
ID_ID7YPC,0,0,0
ID_ILQR7M,0,0,0
ID_QPR8QW,0,0,0
ID_UCZ6Y7,0,0,0
ID_SPI2FT,0,0,0
ID_MBTOVN,0,0,0
ID_4FOBHZ,0,0,0
ID_BPIYJI,0,0,0
ID_VJ38ER,0,0,0
ID_UK4JLG,0,0,0
ID_Y2XRQ4,0,0,0
ID_5LT415,0,0,0
ID_47MX9Y,0,0,0
ID_CQ5YKK,0,0,0
ID_JJBMDW,0,0,0
ID_FA5DWE,0,0,0
ID_2Q4VFX,0,0,0
ID_HAX8I5,0,0,0
ID_F2WD0W,0,0,0
ID_NSZEJ2,0,0,0
ID_6IVUNY,0,0,0
ID_IVSS65,0,0,0
ID_T0UQ6Q,0,0,0
ID_PX8UO1,0,0,0
ID_0VSTIV,0,0,0
ID_3GQSC8,0,0,0
ID_AP4QQF,0,0,0
ID_QOPF91,0,0,0
ID_C6OQ80,0,0,0
ID_C4BAGZ,0,0,0
ID_ENFF38,0,0,0
ID_K4ZDJ6,0,0,0
ID_V9M3G3,0,0,0
ID_B5OQEI,0,0,0
ID_S1CLCI,0,0,0
ID_PPW4GJ,0,0,0
ID_YA5EBW,0,0,0
ID_O423ZK,0,0,0
ID_A22XMJ,0,0,0
ID_HGMHWH,0,0,0
ID_NTZU1Z,0,0,0
ID_VM6QW6,0,0,0
ID_XGXK4G,0,0,0
ID_W2T5FE,0,0,0
ID_Q03AFD,0,0,0
ID_V78X7D,0,0,0
ID_Q5M47J,0,0,0
ID_THMTID,0,0,0
ID_FQR5TR,0,0,0
ID_GT286A,0,0,0
ID_0S24S5,0,0,0
ID_E83UI8,0,0,0
ID_6DXALP,0,0,0
ID_2BF854,0,0,0
ID_HYDQK8,0,0,0
ID_HSA04B,0,0,0
ID_RRWNPG,0,0,0
ID_MWVMM5,0,0,0
ID_PGFTAB,0,0,0
ID_WFMXKI,0,0,0
ID_82SND4,0,0,0
ID_MST15I,0,0,0
ID_R3EKBD,0,0,0
ID_867BSZ,0,0,0
ID_AK6F3W,0,0,0
ID_G8XPWJ,0,0,0
ID_PMU0P6,0,0,0
ID_XWZV15,0,0,0
ID_H4OWPH,0,0,0
ID_SZFJUA,0,0,0
ID_9SOHFC,0,0,0
ID_YE3R5O,0,0,0
ID_C8CFF4,0,0,0
ID_72QD5M,0,0,0
ID_GQFCEW,0,0,0
ID_YH83SH,0,0,0
ID_2DHI42,0,0,0
ID_MMNRD7,0,0,0
ID_5TI321,0,0,0
ID_SVVM0O,0,0,0
ID_KUBRRI,0,0,0
ID_YEGKLV,0,0,0
ID_G5V9WX,0,0,0
ID_6B1E7A,0,0,0
ID_G7FY7H,0,0,0
ID_9PN8VZ,0,0,0
ID_INHME0,0,0,0
ID_KG8RCD,0,0,0
ID_IHVDIS,0,0,0
ID_F4RIO0,0,0,0
ID_VB9SRJ,0,0,0
ID_CHBZQF,0,0,0
ID_QORRKT,0,0,0
ID_7KDGKW,0,0,0
ID_3RKIVO,0,0,0
ID_3BWQZ0,0,0,0
ID_17N5DL,0,0,0
ID_MHUO3H,0,0,0
ID_CK79UF,0,0,0
ID_I6TL75,0,0,0
ID_F7VR0D,0,0,0
ID_PLNLNN,0,0,0
ID_R1PU44,0,0,0
ID_Y82AIN,0,0,0
ID_L46EYC,0,0,0
ID_LEDFKA,0,0,0
ID_PS7HF8,0,0,0
ID_QAW8NZ,0,0,0
ID_ERKUVE,0,0,0
ID_BNN7NY,0,0,0
ID_KBSYZS,0,0,0
ID_PY7LWJ,0,0,0
ID_M59130,0,0,0
ID_QEBI6F,0,0,0
ID_51FYKR,0,0,0
ID_ODDYJ4,0,0,0
ID_S8DZNV,0,0,0
ID_CRMVUI,0,0,0
ID_23V5U1,0,0,0
ID_5NQANZ,0,0,0
ID_6GQJGA,0,0,0
ID_7FGDIH,0,0,0
ID_3GIXBE,0,0,0
ID_MUY7SK,0,0,0
ID_7E4IMW,0,0,0
ID_GQ026L,0,0,0
ID_NSGP54,0,0,0
ID_DTO3R4,0,0,0
ID_0FQ03N,0,0,0
ID_2Z92I4,0,0,0
ID_KBM7FI,0,0,0
ID_WWPYEN,0,0,0
ID_EHTN8P,0,0,0
ID_JSDKS2,0,0,0
ID_XQ0ZY0,0,0,0
ID_USGTMG,0,0,0
ID_67FBI9,0,0,0
ID_Z6QI77,0,0,0
ID_2K33Z2,0,0,0
ID_4OP3SD,0,0,0
ID_STVG1P,0,0,0
ID_THK1C4,0,0,0
ID_NP20UR,0,0,0
ID_Q6DMXX,0,0,0
ID_4KSYUF,0,0,0
ID_RZO12C,0,0,0
ID_FHEDRL,0,0,0
ID_PEWOOC,0,0,0
ID_DIRWMR,0,0,0
ID_HYGFTT,0,0,0
ID_48A45W,0,0,0
ID_Q8KL31,0,0,0
ID_LDLUJJ,0,0,0
ID_7OO26V,0,0,0
ID_5Z81W6,0,0,0
ID_4KE3TI,0,0,0
ID_BDVFG6,0,0,0
ID_FQYPUS,0,0,0
ID_RIAU1Z,0,0,0
ID_M78GG5,0,0,0
ID_37UWVB,0,0,0
ID_I859L3,0,0,0
ID_UX80DQ,0,0,0
ID_RD5BGX,0,0,0
ID_RZCBCJ,0,0,0
ID_X9JBR2,0,0,0
ID_J8UW5P,0,0,0
ID_EMMDHG,0,0,0
ID_PJ1P2R,0,0,0
ID_R47EK6,0,0,0
ID_JHIY9V,0,0,0
ID_T81YHF,0,0,0
ID_0MZD23,0,0,0
ID_QS5XPP,0,0,0
ID_0U1EZO,0,0,0
ID_E4DBC2,0,0,0
ID_45DI7Y,0,0,0
ID_EW4PL7,0,0,0
ID_10ADUU,0,0,0
ID_DAZ7FJ,0,0,0
ID_RIGL4Y,0,0,0
ID_8LOF38,0,0,0
ID_OET8XQ,0,0,0
ID_OFVZTB,0,0,0
ID_TM8KLZ,0,0,0
ID_259FK4,0,0,0
ID_I9T2SS,0,0,0
ID_3I5QC0,0,0,0
ID_GKM9ZR,0,0,0
ID_OLTDFO,0,0,0
ID_Q84R5F,0,0,0
ID_O6SN0H,0,0,0
ID_61BNLZ,0,0,0
ID_2PI4KZ,0,0,0
ID_D1TOG3,0,0,0
ID_B6O6MO,0,0,0
ID_8IXW91,0,0,0
ID_PHV9ZI,0,0,0
ID_T373HB,0,0,0
ID_CBH70E,0,0,0
ID_SPBBHR,0,0,0
ID_Q1D9JN,0,0,0
ID_TL2X27,0,0,0
ID_F2GM8G,0,0,0
ID_IDLXTI,0,0,0
ID_DEW8C3,0,0,0
ID_0BRXED,0,0,0
ID_YF3ST1,0,0,0
ID_K0HYVP,0,0,0
ID_NINS9Y,0,0,0
ID_ZA5EHV,0,0,0
ID_36M4KU,0,0,0
ID_5M7C9I,0,0,0
ID_D686MI,0,0,0
ID_OVCDFX,0,0,0
ID_3IFAJL,0,0,0
ID_WTP0QO,0,0,0
ID_46VXV0,0,0,0
ID_GKI4T6,0,0,0
ID_KJXWHH,0,0,0
ID_IZUUTA,0,0,0
ID_ID5AB8,0,0,0
ID_4VMV8O,0,0,0
ID_LHAX4X,0,0,0
ID_LWK29N,0,0,0
ID_UOAMDI,0,0,0
ID_CIQ6OC,0,0,0
ID_JHJ2RX,0,0,0
ID_SJQ7OT,0,0,0
ID_N714M9,0,0,0
ID_CTPUV3,0,0,0
ID_CCLMNX,0,0,0
ID_WJTM56,0,0,0
ID_VY3NWS,0,0,0
ID_CJQF80,0,0,0
ID_OV1C6S,0,0,0
ID_XE6VLJ,0,0,0
ID_G8LPIR,0,0,0
ID_G1MRM1,0,0,0
ID_RT6UJ7,0,0,0
ID_1OQOAF,0,0,0
ID_VENW4B,0,0,0
ID_445E92,0,0,0
ID_1PN50C,0,0,0
ID_2JD9M7,0,0,0
ID_B9475N,0,0,0
ID_FRFBN2,0,0,0
ID_4DP01X,0,0,0
ID_O4NWEV,0,0,0
ID_X824T1,0,0,0
ID_BZLVHG,0,0,0
ID_XO0XXX,0,0,0
ID_AES93Y,0,0,0
ID_PFNJPN,0,0,0
ID_DEHJXU,0,0,0
ID_MDYTPS,0,0,0
ID_ZO04I6,0,0,0
ID_OBB7UG,0,0,0
ID_013A56,0,0,0
ID_9PJ2LQ,0,0,0
